"1
"MRes/PhD (1 + 4) structure - this fee structure applies to students
starting from 2015/16 onwards",,,,,,,,,
MRes (first year),"£4,500","£20,136",,,,,,,
PhD (first year),"£4,500","£20,136",,,,,,,
PhD (second year),"£4,500","£20,136",,,,,,,
PhD (third year),"£4,500","£20,136",,,,,,,
PhD (fourth year),£0,£0,,,,,,,
PhD (exceptional registration beyond the fourth year),"£4,500","£20,136",,,,,,,
"MRes/PhD (2 + 3) structure - this fee structure applies to students
starting from 2020/21 onwards",,,,,,,,,
MRes (first year),"£4,500","£20,136",,,,,,,
MRes (second year),"£4,500","£20,136",,,,,,,
PhD (first year),"£4,500","£20,136",,,,,,,
PhD (second year),"£4,500","£20,136",,,,,,,
PhD (third year),£0,£0,,,,,,,
PhD (exceptional registration beyond the third year),"£4,500","£20,136",,,,,,,
"MRes/PhD (2 + 4) structure - this structure applies to student
starting from 2015/16 onwards",,,,,,,,,
MRes (first year),"£4,500","£20,136",,,,,,,
MRes (second year),"£4,500","£20,136",,,,,,,
PhD (first year),"£4,500","£20,136",,,,,,,
PhD (second year),"£4,500","£20,136",,,,,,,
PhD (third year),"£4,500","£20,136",,,,,,,
PhD (fourth year),£0,£0,,,,,,,
PhD (exceptional registration beyond the fourth year),"£4,500","£20,136",,,,,,,
,Full time,,,,,,,,
,Home,"Overseas
(including EU)",,,,,,,
Visiting research students,"£4,500","£4,500",,,,,,,
,Home/EU,Overseas,,,,,,,
MPhil/PhD – Year 1,£ Full research fee payable,£ Full research fee payable,,,,,,,
MPhil/PhD – Year 2,£ Full research fee payable,£ Full research fee payable,,,,,,,
MPhil/PhD – Year 3,£ Full research fee payable,£ Full research fee payable,,,,,,,
MPhil/PhD – Year 4,£0 fee,£0 fee,,,,,,,
Registration beyond Year 4,£ Full research fee payable,£ Full research fee payable,,,,,,,
,Home/EU,Overseas,,,,,,,
MRes – Year 1,£ Full research fee payable,£ Full research fee payable,,,,,,,
PhD – Year 1,£ Full research fee payable,£ Full research fee payable,,,,,,,
PhD – Year 2,£ Full research fee payable,£ Full research fee payable,,,,,,,
PhD – Year 3,£ Full research fee payable,£ Full research fee payable,,,,,,,
PhD – Year 4,£0 fee,£0 fee,,,,,,,
"Registration beyond Year 4 of
the PhD",£ Full research fee payable,£ Full research fee payable,,,,,,,
,Home/EU,Overseas,,,,,,,
MRes (first year),£ Full research fee payable,£ Full research fee payable,,,,,,,
MRes (second year),£ Full research fee payable,£ Full research fee payable,,,,,,,
PhD (first year),£ Full research fee payable,£ Full research fee payable,,,,,,,
PhD (second year),£ Full research fee payable,£ Full research fee payable,,,,,,,
PhD (third year),£0 fee,£0 fee,,,,,,,
"Registration beyond Year 4 of
the PhD",£ Full research fee payable,£ Full research fee payable,,,,,,,
,Home/EU,Overseas,,,,,,,
MRes – Year 1,£ Full research fee payable,£ Full research fee payable,,,,,,,
MRes – Year 2,£ Full research fee payable,£ Full research fee payable,,,,,,,
PhD – Year 1,£ Full research fee payable,£ Full research fee payable,,,,,,,
PhD – Year 2,£ Full research fee payable,£ Full research fee payable,,,,,,,
PhD – Year 3,£ Full research fee payable,£ Full research fee payable,,,,,,,
PhD – Year 4,£0 fee,£0 fee,,,,,,,
"Registration beyond Year 4 of
the PhD",£ Full research fee payable,£ Full research fee payable,,,,,,,
