Unnamed: 0,Nationality,Department,Program,2019,2019.1,2019.2,2020,2020.1,2020.2,2021,2021.1,2021.2,2022,2022.1,2022.2,Unnamed: 15,Unnamed: 16,Unnamed: 17
91,Algerian,Law School UG Degree,UG Degree,0,0,0,0,0,0,0,0,0,*,0,0,*,*,*
92,Algerian,Management UG Degree PG Taught,UG Degree,*,0,0,0,0,0,*,0,0,*,0,0,*,0,0
93,Algerian,Management UG Degree PG Taught,PG Taught,0,0,0,*,0,0,*,0,0,0,0,0,*,*,0
94,Algerian,Mathematics UG Degree PG Taught,UG Degree,*,0,0,0,0,0,0,0,0,*,0,0,0,0,0
95,Algerian,Mathematics UG Degree PG Taught,PG Taught,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0
96,Algerian,Media and C.. PG Taught,PG Taught,0,0,0,*,*,0,*,*,0,0,0,0,0,0,0
97,Algerian,"Philosophy, .. UG Degree Sociology PG Taught",UG Degree,*,0,0,*,0,0,0,0,0,0,0,0,0,0,0
98,Algerian,"Philosophy, .. UG Degree Sociology PG Taught",PG Taught,0,0,0,*,0,0,0,0,0,0,0,0,*,0,0
99,Algerian,Statistics UG Degree,UG Degree,*,0,0,*,0,0,0,0,0,0,0,0,*,0,0
100,American,Accounting UG Degree PG Taught,UG Degree,19,0,0,21,*,0,24,*,*,25,*,0,23,*,0
101,American,Accounting UG Degree PG Taught,PG Taught,25,13,5,14,10,*,9,*,*,8,5,*,14,6,*
102,American,Anthropology UG Degree PG Taught,UG Degree,15,*,0,16,7,*,15,*,*,21,6,0,12,*,0
103,American,Anthropology UG Degree PG Taught,PG Taught,38,21,8,48,27,8,54,39,12,47,29,10,29,19,11
104,American,Economic UG Degree History PG Taught,UG Degree,26,*,*,17,*,*,28,*,*,22,*,*,24,5,*
105,American,Economic UG Degree History PG Taught,PG Taught,32,18,6,41,18,10,41,21,12,32,17,10,31,15,10
106,American,Economics UG Degree PG Taught,UG Degree,73,*,0,104,*,*,117,*,*,101,*,0,102,*,0
107,American,Economics UG Degree PG Taught,PG Taught,139,29,11,112,32,12,127,32,11,93,28,9,88,29,9
108,American,European In.. PG Taught,PG Taught,91,48,22,83,60,36,111,57,24,63,36,14,79,51,30
109,American,Finance UG Degree PG Taught,UG Degree,17,6,*,25,7,*,35,*,*,38,8,*,50,6,*
110,American,Finance UG Degree PG Taught,PG Taught,86,10,8,70,9,*,59,10,*,52,9,*,68,5,*
111,American,Gender Stud.. PG Taught,PG Taught,103,49,20,95,49,20,100,49,24,68,34,20,72,45,24
112,American,Geography UG Degree and Environ.. PG Taught,UG Degree,16,0,0,23,*,*,42,*,0,36,*,0,32,*,*
113,American,Geography UG Degree and Environ.. PG Taught,PG Taught,185,65,28,184,80,29,253,94,34,174,76,39,230,100,42
