Unnamed: 0,Nationality,Department,Program,2019,2019.1,2019.2,2020,2020.1,2020.2,2021,2021.1,2021.2,2022,2022.1,2022.2,Unnamed: 15,Unnamed: 16,Unnamed: 17
2205,Hungarian,Geography UG Degree and Environ.. PG Taught,PG Taught,5,0,0,5,*,0,7,*,*,7,0,0,8,*,*
2206,Hungarian,Government UG Degree PG Taught,UG Degree,17,*,*,18,*,0,5,0,0,5,0,0,10,*,*
2207,Hungarian,Government UG Degree PG Taught,PG Taught,10,*,*,6,*,*,5,*,*,6,*,*,*,*,*
2208,Hungarian,Health Policy PG Taught,PG Taught,0,0,0,*,*,*,0,0,0,0,0,0,*,*,*
2209,Hungarian,International.. PG Taught,PG Taught,*,*,*,*,0,0,*,*,*,*,*,*,*,*,0
2210,Hungarian,International UG Degree History PG Taught,UG Degree,*,0,0,*,*,*,*,0,0,*,0,0,6,*,*
2211,Hungarian,International UG Degree History PG Taught,PG Taught,0,0,0,0,0,0,*,*,*,*,*,*,*,0,0
2212,Hungarian,International UG Degree Relations PG Taught,UG Degree,6,0,0,*,*,*,*,0,0,*,0,0,0,0,0
2213,Hungarian,International UG Degree Relations PG Taught,PG Taught,*,0,0,7,*,*,6,*,*,*,0,0,8,*,*
2214,Hungarian,Language C.. UG Degree,UG Degree,*,0,0,*,*,*,0,0,0,*,*,0,*,*,0
2215,Hungarian,Law School UG Degree PG Taught,UG Degree,9,*,*,7,0,0,9,*,0,9,*,*,7,0,0
2216,Hungarian,Law School UG Degree PG Taught,PG Taught,7,*,*,*,*,*,*,*,*,*,0,0,*,*,*
2217,Hungarian,Management UG Degree PG Taught,UG Degree,19,*,*,10,*,*,5,0,0,5,*,0,*,0,0
2218,Hungarian,Management UG Degree PG Taught,PG Taught,13,*,*,14,*,0,8,*,*,7,*,0,13,5,*
2219,Hungarian,Mathematics UG Degree PG Taught,UG Degree,5,0,0,5,*,*,*,0,0,*,0,0,5,*,0
2220,Hungarian,Mathematics UG Degree PG Taught,PG Taught,5,*,*,*,*,0,*,0,0,0,0,0,0,0,0
2221,Hungarian,Media and C.. PG Taught,PG Taught,0,0,0,*,*,*,*,0,0,*,*,0,*,*,0
2222,Hungarian,Methodology PG Taught,PG Taught,*,*,*,*,*,*,*,*,0,*,*,0,*,0,0
2223,Hungarian,"Philosophy, UG Degree Logic and S.. PG Taught",UG Degree,8,*,0,8,*,0,*,0,0,*,0,0,6,*,0
2224,Hungarian,"Philosophy, UG Degree Logic and S.. PG Taught",PG Taught,0,0,0,*,0,0,0,0,0,*,0,0,*,0,0
2225,Hungarian,Psychological UG Degree and Behavio.. PG Taught,UG Degree,0,0,0,*,*,0,*,0,0,*,*,*,*,*,*
2226,Hungarian,Psychological UG Degree and Behavio.. PG Taught,PG Taught,*,*,*,10,*,*,*,*,*,5,*,*,7,*,0
2227,Hungarian,School of Pu.. PG Taught,PG Taught,0,0,0,0,0,0,0,0,0,*,*,0,*,0,0
2228,Hungarian,Social Policy UG Degree PG Taught,UG Degree,8,0,0,*,*,*,*,0,0,*,*,*,5,*,0
2229,Hungarian,Social Policy UG Degree PG Taught,PG Taught,*,*,*,0,0,0,*,*,0,*,*,*,*,0,0
2230,Hungarian,Sociology UG Degree PG Taught,UG Degree,*,0,0,*,*,*,*,*,*,0,0,0,0,0,0
2231,Hungarian,Sociology UG Degree PG Taught,PG Taught,*,*,*,*,*,*,*,*,0,*,*,*,9,5,*
2232,Hungarian,Statistics UG Degree PG Taught,UG Degree,0,0,0,*,0,0,*,0,0,0,0,0,0,0,0
2233,Hungarian,Statistics UG Degree PG Taught,PG Taught,0,0,0,0,0,0,*,0,0,*,0,0,0,0,0
2234,Icelandic,Economic UG Degree History PG Taught,UG Degree,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0
2235,Icelandic,Economic UG Degree History PG Taught,PG Taught,0,0,0,0,0,0,0,0,0,*,*,*,*,*,*
2236,Icelandic,Economics UG Degree PG Taught,UG Degree,*,0,0,0,0,0,0,0,0,0,0,0,*,0,0
2237,Icelandic,Economics UG Degree PG Taught,PG Taught,*,0,0,0,0,0,0,0,0,*,*,*,*,0,0
2238,Icelandic,European In.. PG Taught,PG Taught,*,*,*,0,0,0,*,0,0,*,0,0,0,0,0
2239,Icelandic,Finance UG Degree PG Taught,UG Degree,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0
2240,Icelandic,Finance UG Degree PG Taught,PG Taught,*,*,*,*,0,0,0,0,0,*,*,0,*,*,*
2241,Icelandic,Gender Stud.. PG Taught,PG Taught,0,0,0,0,0,0,0,0,0,0,0,0,*,*,0
2242,Icelandic,Geography UG Degree and Environ.. PG Taught,UG Degree,*,*,0,*,0,0,0,0,0,0,0,0,0,0,0
2243,Icelandic,Geography UG Degree and Environ.. PG Taught,PG Taught,0,0,0,0,0,0,*,*,*,0,0,0,*,*,0
2244,Icelandic,Government UG Degree PG Taught,UG Degree,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0
2245,Icelandic,Government UG Degree PG Taught,PG Taught,*,*,*,*,0,0,0,0,0,0,0,0,0,0,0
2246,Icelandic,Health Policy PG Taught,PG Taught,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0
2247,Icelandic,International UG Degree History PG Taught,UG Degree,0,0,0,*,0,0,0,0,0,0,0,0,0,0,0
2248,Icelandic,International UG Degree History PG Taught,PG Taught,0,0,0,*,*,0,0,0,*,*,*,*,0,0,*
2249,Icelandic,International UG Degree Relations PG Taught,UG Degree,*,0,0,0,0,0,0,0,0,*,0,0,0,0,0
2250,Icelandic,International UG Degree Relations PG Taught,PG Taught,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0
2251,Icelandic,Law School UG Degree PG Taught,UG Degree,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0
2252,Icelandic,Law School UG Degree PG Taught,PG Taught,*,*,0,0,0,0,0,0,0,*,*,*,*,0,0
2253,Icelandic,Management UG Degree PG Taught,UG Degree,*,0,0,0,0,0,0,0,0,*,0,0,0,0,0
2254,Icelandic,Management UG Degree PG Taught,PG Taught,*,*,*,*,0,0,*,*,*,*,*,0,0,0,0
2255,Icelandic,Mathematics UG Degree PG Taught,UG Degree,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2256,Icelandic,Mathematics UG Degree PG Taught,PG Taught,*,*,*,*,*,0,*,0,0,0,0,0,*,*,0
2257,Icelandic,Media and C.. PG Taught,PG Taught,0,0,0,*,*,*,*,0,0,0,0,0,0,0,0
2258,Icelandic,Methodology PG Taught,PG Taught,0,0,0,0,0,0,0,0,0,*,*,0,*,*,0
2259,Icelandic,"Philosophy, UG Degree Logic and S.. PG Taught",UG Degree,0,0,0,*,0,0,0,0,0,0,0,0,0,0,0
2260,Icelandic,"Philosophy, UG Degree Logic and S.. PG Taught",PG Taught,0,0,0,*,*,*,*,0,0,*,*,*,0,0,0
2261,Icelandic,Psychologic.. PG Taught,PG Taught,*,*,*,*,*,0,*,*,*,0,0,0,*,0,0
2262,Icelandic,Social Policy PG Taught,PG Taught,*,0,0,0,0,0,*,0,0,0,0,0,0,0,0
2263,Icelandic,Sociology PG Taught,PG Taught,0,0,0,*,*,*,*,0,0,*,*,*,0,0,0
2264,Icelandic,Statistics PG Taught,PG Taught,5,*,0,0,0,0,*,*,0,0,0,0,*,0,0
2265,Indian,Accounting UG Degree PG Taught,UG Degree,132,9,6,120,*,*,140,6,5,166,22,15,149,22,11
2266,Indian,Accounting UG Degree PG Taught,PG Taught,52,16,11,54,23,15,57,23,18,67,26,20,65,26,15
2267,Indian,Anthropology UG Degree PG Taught,UG Degree,8,*,*,10,*,*,16,*,*,10,*,0,17,6,*
2268,Indian,Anthropology UG Degree PG Taught,PG Taught,22,9,*,23,16,7,26,16,*,39,25,5,30,23,10
2269,Indian,Economic UG Degree History PG Taught,UG Degree,18,*,*,16,*,*,52,*,*,37,*,*,43,*,*
2270,Indian,Economic UG Degree History PG Taught,PG Taught,7,*,0,15,*,*,15,8,*,19,12,8,14,5,*
2271,Indian,Economics UG Degree PG Taught,UG Degree,333,20,6,444,24,10,530,18,13,506,20,16,466,32,11
2272,Indian,Economics UG Degree PG Taught,PG Taught,260,65,32,267,64,29,246,59,34,253,60,34,210,48,16
2273,Indian,European In.. PG Taught,PG Taught,6,*,*,8,6,*,13,*,*,13,*,*,15,5,*
2274,Indian,Finance UG Degree PG Taught,UG Degree,44,6,*,64,13,6,75,12,6,132,16,7,119,5,*
2275,Indian,Finance UG Degree PG Taught,PG Taught,213,18,9,254,26,7,348,54,26,396,42,28,375,28,17
2276,Indian,Gender Stud.. PG Taught,PG Taught,72,19,7,50,17,*,77,23,9,99,35,11,81,21,6
2277,Indian,Geography UG Degree and Environ.. PG Taught,UG Degree,23,*,0,23,*,*,31,*,*,31,*,0,40,5,*
2278,Indian,Geography UG Degree and Environ.. PG Taught,PG Taught,91,21,10,97,22,7,136,33,12,184,44,21,171,40,21
2279,Indian,Government UG Degree PG Taught,UG Degree,80,8,*,105,6,*,142,6,*,129,19,11,112,12,6
2280,Indian,Government UG Degree PG Taught,PG Taught,108,14,9,126,23,5,174,15,7,159,21,11,165,30,19
2281,Indian,Health Policy PG Taught,PG Taught,38,20,15,35,22,6,50,31,11,68,40,18,86,40,19
2282,Indian,International.. PG Taught,PG Taught,139,26,19,185,55,21,194,53,24,200,65,34,264,69,27
2283,Indian,International UG Degree History PG Taught,UG Degree,19,*,0,18,5,*,22,*,*,32,8,*,31,6,*
2284,Indian,International UG Degree History PG Taught,PG Taught,28,14,5,33,11,7,33,10,6,35,19,5,31,13,7
2285,Indian,International UG Degree Relations PG Taught,UG Degree,40,13,5,50,10,7,37,*,0,35,6,0,36,6,*
2286,Indian,International UG Degree Relations PG Taught,PG Taught,126,13,8,135,26,14,186,29,14,162,36,25,171,24,12
2287,Indian,Language C.. UG Degree,UG Degree,*,0,0,*,*,0,*,0,0,*,0,0,*,*,0
2288,Indian,Law School UG Degree PG Taught,UG Degree,135,6,*,147,12,7,249,14,9,204,10,5,185,13,6
2289,Indian,Law School UG Degree PG Taught,PG Taught,267,41,17,355,73,13,438,70,18,479,94,43,451,110,38
2290,Indian,Management UG Degree PG Taught,UG Degree,145,16,5,187,13,6,299,8,8,325,20,10,271,26,10
2291,Indian,Management UG Degree PG Taught,PG Taught,505,77,52,797,148,66,789,120,64,909,149,85,874,120,68
2292,Indian,Mathematics UG Degree PG Taught,UG Degree,67,6,*,73,5,*,89,8,6,92,6,*,113,13,7
2293,Indian,Mathematics UG Degree PG Taught,PG Taught,57,11,6,59,12,5,72,16,5,74,17,6,58,19,10
2294,Indian,Media and C.. PG Taught,PG Taught,167,35,16,187,39,20,192,41,15,239,59,36,207,45,34
2295,Indian,Methodology PG Taught,PG Taught,17,*,*,38,6,*,37,12,*,34,9,*,47,10,*
2296,Indian,"Philosophy, UG Degree Logic and S.. PG Taught",UG Degree,42,*,*,52,*,*,80,*,*,71,10,5,66,*,0
2297,Indian,"Philosophy, UG Degree Logic and S.. PG Taught",PG Taught,22,6,*,16,*,*,24,5,*,20,6,*,13,*,*
2298,Indian,Psychological UG Degree and Behavio.. PG Taught,UG Degree,20,*,0,47,7,*,56,9,5,69,10,5,65,11,*
2299,Indian,Psychological UG Degree and Behavio.. PG Taught,PG Taught,132,27,11,162,37,13,208,44,29,256,44,30,238,49,28
2300,Indian,School of Pu.. PG Taught,PG Taught,127,49,15,166,82,24,212,102,31,270,126,50,302,90,30
2301,Indian,Social Policy UG Degree PG Taught,UG Degree,36,*,*,46,7,5,53,*,*,73,6,*,63,*,*
2302,Indian,Social Policy UG Degree PG Taught,PG Taught,90,18,9,91,24,9,95,28,14,126,49,27,116,46,22
2303,Indian,Sociology UG Degree PG Taught,UG Degree,10,*,0,7,*,0,13,*,*,10,0,0,*,0,0
2304,Indian,Sociology UG Degree PG Taught,PG Taught,64,24,10,72,22,5,120,31,11,104,28,14,137,31,14
2305,Indian,Statistics UG Degree PG Taught,UG Degree,37,*,0,44,7,*,89,*,*,108,7,*,76,10,5
2306,Indian,Statistics UG Degree PG Taught,PG Taught,88,8,*,163,10,6,123,9,5,171,22,9,156,21,13
2307,Indonesian Indonesian,Accounting UG Degree Accounting PG Taught,UG Degree,12,*,*,8,0,0,15,*,0,11,*,0,16,*,0
2308,Indonesian Indonesian,Accounting UG Degree Accounting PG Taught,PG Taught,15,6,*,12,9,*,10,*,*,15,8,*,8,*,0
2309,Indonesian Indonesian,Anthropology UG Degree PG Taught,UG Degree,*,*,*,*,*,*,*,0,0,*,*,0,*,*,0
2310,Indonesian Indonesian,Anthropology UG Degree PG Taught,PG Taught,0,0,0,*,0,0,*,0,0,*,*,*,*,*,0
2311,Indonesian Indonesian,Economic UG Degree History PG Taught,UG Degree,*,*,*,*,*,*,0,0,0,*,0,0,*,0,0
2312,Indonesian Indonesian,Economic UG Degree History PG Taught,PG Taught,*,0,0,*,*,*,*,*,*,*,*,0,*,*,*
2313,Indonesian Indonesian,Economics UG Degree PG Taught,UG Degree,10,*,0,13,*,0,15,0,0,14,*,0,13,*,*
2314,Indonesian Indonesian,Economics UG Degree PG Taught,PG Taught,13,*,0,16,*,0,5,*,*,9,*,*,20,7,*
2315,Indonesian Indonesian,European In.. PG Taught,PG Taught,0,0,0,0,0,0,0,0,0,*,*,*,*,*,0
2316,Indonesian Indonesian,Finance UG Degree PG Taught,UG Degree,*,*,*,*,0,0,7,*,0,19,*,*,12,*,0
2317,Indonesian Indonesian,Finance UG Degree PG Taught,PG Taught,33,*,*,15,*,*,18,*,*,23,*,*,19,*,*
2318,Indonesian Indonesian,Gender Stud.. PG Taught,PG Taught,*,*,0,*,*,0,*,0,0,8,*,*,6,*,*
2319,Indonesian Indonesian,Geography UG Degree and Environ.. PG Taught,UG Degree,*,0,0,*,0,0,7,0,0,*,*,*,*,0,0
2320,Indonesian Indonesian,Geography UG Degree and Environ.. PG Taught,PG Taught,23,*,*,22,*,*,14,*,0,13,*,*,16,5,*
2321,Indonesian Indonesian,Government UG Degree PG Taught,UG Degree,9,0,0,9,*,*,6,*,*,12,*,*,6,*,0
2322,Indonesian Indonesian,Government UG Degree PG Taught,PG Taught,12,*,*,14,*,*,12,7,*,12,*,*,10,5,*
2323,Indonesian Indonesian,Health Policy PG Taught,PG Taught,5,*,*,5,*,*,6,5,*,*,*,*,*,*,0
2324,Indonesian Indonesian,International.. PG Taught,PG Taught,32,10,7,17,6,*,19,6,*,24,9,6,20,7,*
2325,Indonesian Indonesian,International UG Degree History PG Taught,UG Degree,*,0,0,*,0,0,*,*,*,*,*,*,0,0,0
2326,Indonesian Indonesian,International UG Degree History PG Taught,PG Taught,*,*,0,*,*,*,0,0,0,*,0,0,*,*,*
2327,Indonesian Indonesian,International UG Degree Relations PG Taught,UG Degree,6,*,*,*,0,0,7,0,0,5,0,0,*,0,0
2328,Indonesian Indonesian,International UG Degree Relations PG Taught,PG Taught,11,*,*,10,*,*,9,*,*,9,*,*,12,*,*
2329,Indonesian Indonesian,Language C.. UG Degree,UG Degree,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2330,Indonesian Indonesian,Law School UG Degree PG Taught,UG Degree,10,*,0,*,0,0,5,0,0,8,*,0,10,*,*
2331,Indonesian Indonesian,Law School UG Degree PG Taught,PG Taught,12,*,0,9,*,*,19,6,*,16,*,*,7,*,0
2332,Indonesian Indonesian,Management UG Degree PG Taught,UG Degree,*,*,0,11,*,*,12,0,0,18,*,*,12,*,*
2333,Indonesian Indonesian,Management UG Degree PG Taught,PG Taught,46,12,*,43,12,*,60,18,5,81,23,13,81,29,15
2334,Indonesian Indonesian,Mathematics UG Degree PG Taught,UG Degree,10,0,0,*,*,*,*,*,*,*,0,0,7,0,0
2335,Indonesian Indonesian,Mathematics UG Degree PG Taught,PG Taught,5,*,0,*,*,*,5,0,0,*,0,0,*,*,*
2336,Indonesian Indonesian,Media and C.. PG Taught,PG Taught,12,*,0,15,7,*,22,8,*,18,7,*,19,5,*
2337,Indonesian Indonesian,Methodology PG Taught,PG Taught,5,*,0,7,*,0,*,*,*,6,0,0,5,0,0
2338,Indonesian Indonesian,"Philosophy, UG Degree Logic and S.. PG Taught",UG Degree,7,*,0,5,*,0,*,*,*,6,0,0,*,0,0
2339,Indonesian Indonesian,"Philosophy, UG Degree Logic and S.. PG Taught",PG Taught,0,0,0,*,0,0,*,*,*,0,0,0,*,0,0
2340,Indonesian Indonesian,Psychological UG Degree and Behavio.. PG Taught,UG Degree,*,0,0,*,*,0,*,0,0,*,0,0,*,*,0
2341,Indonesian Indonesian,Psychological UG Degree and Behavio.. PG Taught,PG Taught,9,*,0,8,*,*,11,*,0,11,*,*,25,6,*
2342,Indonesian Indonesian,School of Pu.. PG Taught,PG Taught,23,18,8,28,20,*,34,21,6,33,21,13,43,20,5
2343,Indonesian Indonesian,Social Policy UG Degree PG Taught,UG Degree,5,*,*,*,*,0,10,*,0,7,*,0,11,*,*
2344,Indonesian Indonesian,Social Policy UG Degree PG Taught,PG Taught,8,*,*,*,*,*,*,*,0,5,*,*,18,10,6
2345,Indonesian Indonesian,Sociology UG Degree PG Taught,UG Degree,*,0,0,*,0,0,0,0,0,*,0,0,*,*,0
2346,Indonesian Indonesian,Sociology UG Degree PG Taught,PG Taught,7,*,*,*,0,0,*,0,0,7,*,*,12,5,*
2347,Indonesian Indonesian,Statistics UG Degree PG Taught,UG Degree,12,5,*,13,5,*,17,*,*,24,*,0,25,*,*
2348,Indonesian Indonesian,Statistics UG Degree PG Taught,PG Taught,10,*,0,5,*,0,6,*,*,5,0,0,5,0,0
2349,Iranian,Accounting UG Degree PG Taught,UG Degree,0,0,0,*,*,0,*,0,0,*,0,0,5,0,0
2350,Iranian,Accounting UG Degree PG Taught,PG Taught,*,*,*,*,0,0,*,*,*,0,0,0,*,0,0
2351,Iranian,Anthropology UG Degree PG Taught,UG Degree,*,0,0,0,0,0,0,0,0,0,0,0,*,0,0
2352,Iranian,Anthropology UG Degree PG Taught,PG Taught,*,*,*,0,0,0,0,0,0,*,*,0,*,*,*
2353,Iranian,Economic UG Degree History PG Taught,UG Degree,0,0,0,*,*,0,0,0,0,*,0,0,*,0,0
2354,Iranian,Economic UG Degree History PG Taught,PG Taught,0,0,0,*,0,0,*,0,0,*,*,*,0,0,0
2355,Iranian,Economics UG Degree PG Taught,UG Degree,6,*,*,7,*,0,*,0,0,*,0,0,*,0,0
2356,Iranian,Economics UG Degree PG Taught,PG Taught,20,7,*,13,5,*,5,*,0,8,*,0,9,5,0
2357,Iranian,European In.. PG Taught,PG Taught,0,0,0,0,0,0,0,0,0,*,*,*,*,*,0
2358,Iranian,Finance UG Degree Finance PG Taught,UG Degree,0,0,0,*,0,0,*,0,0,*,0,0,*,0,0
2359,Iranian,Finance UG Degree Finance PG Taught,PG Taught,7,*,0,8,*,*,7,0,0,10,*,0,13,*,0
2360,Iranian,Gender Stud.. PG Taught,PG Taught,*,0,0,*,0,0,*,*,0,*,*,0,6,*,0
2361,Iranian,Geography .. PG Taught,PG Taught,*,0,0,*,*,0,5,*,*,*,*,0,6,0,0
2362,Iranian,Government UG Degree PG Taught,UG Degree,*,0,0,*,0,0,0,0,0,*,0,0,*,0,0
2363,Iranian,Government UG Degree PG Taught,PG Taught,0,0,0,7,0,0,8,*,0,*,0,0,7,*,*
2364,Iranian,Health Policy PG Taught,PG Taught,0,0,0,0,0,0,*,*,0,0,0,0,7,*,*
2365,Iranian,International.. PG Taught,PG Taught,*,0,0,*,0,0,*,*,*,5,0,0,*,0,0
2366,Iranian,International UG Degree History PG Taught,UG Degree,0,0,0,*,*,0,0,0,0,*,0,0,0,0,0
2367,Iranian,International UG Degree History PG Taught,PG Taught,0,0,0,0,0,0,0,0,0,0,0,0,*,*,0
2368,Iranian,International UG Degree Relations PG Taught,UG Degree,0,0,0,0,0,0,0,0,0,0,0,0,*,*,0
2369,Iranian,International UG Degree Relations PG Taught,PG Taught,*,0,0,*,0,0,*,0,0,5,0,0,*,0,0
2370,Iranian,Law School UG Degree PG Taught,UG Degree,*,0,0,*,*,0,7,0,0,*,0,0,*,0,0
2371,Iranian,Law School UG Degree PG Taught,PG Taught,6,*,*,7,*,*,*,*,0,8,*,*,7,*,0
2372,Iranian,Management UG Degree PG Taught,UG Degree,*,0,0,*,0,0,*,0,0,*,0,0,7,*,*
2373,Iranian,Management UG Degree PG Taught,PG Taught,8,*,*,14,5,*,16,6,*,5,*,0,15,5,*
2374,Iranian,Mathematics UG Degree PG Taught,UG Degree,0,0,0,*,*,*,*,0,0,*,0,0,*,0,0
2375,Iranian,Mathematics UG Degree PG Taught,PG Taught,*,*,*,*,*,0,5,*,0,*,0,0,*,*,0
2376,Iranian,Media and C.. PG Taught,PG Taught,*,0,0,*,0,0,*,*,0,0,0,0,*,0,0
2377,Iranian,Methodology PG Taught,PG Taught,0,0,0,*,0,0,0,0,0,*,0,0,*,0,0
2378,Iranian,"Philosophy, UG Degree Logic and S.. PG Taught",UG Degree,*,0,0,0,0,0,*,0,0,*,0,0,*,0,0
2379,Iranian,"Philosophy, UG Degree Logic and S.. PG Taught",PG Taught,*,*,*,*,0,0,*,*,*,*,*,0,0,0,0
2380,Iranian,Psychological UG Degree and Behavio.. PG Taught,UG Degree,0,0,0,*,*,0,*,0,0,0,0,0,0,0,0
2381,Iranian,Psychological UG Degree and Behavio.. PG Taught,PG Taught,7,*,0,*,*,*,*,0,0,0,0,0,*,*,*
2382,Iranian,School of Pu.. PG Taught,PG Taught,6,*,*,*,*,0,*,*,0,7,*,*,6,*,0
2383,Iranian,Social Policy UG Degree PG Taught,UG Degree,*,*,0,0,0,0,0,0,0,0,0,0,*,0,0
2384,Iranian,Social Policy UG Degree PG Taught,PG Taught,*,*,*,*,0,0,*,*,0,*,0,0,6,*,*
2385,Iranian,Sociology UG Degree PG Taught,UG Degree,*,0,0,0,0,0,0,0,0,*,0,0,0,0,0
2386,Iranian,Sociology UG Degree PG Taught,PG Taught,*,*,0,*,*,0,*,*,0,*,*,*,5,0,0
2387,Iranian,Statistics UG Degree PG Taught,UG Degree,0,0,0,*,0,0,0,0,0,0,0,0,*,0,0
2388,Iranian,Statistics UG Degree PG Taught,PG Taught,*,0,0,*,0,0,*,0,0,7,*,0,*,*,0
2389,Iraqi,Accounting UG Degree PG Taught,UG Degree,*,*,*,*,0,0,0,0,0,0,0,0,*,0,0
2390,Iraqi,Accounting UG Degree PG Taught,PG Taught,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0
2391,Iraqi,Economic UG Degree History PG Taught,UG Degree,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0
2392,Iraqi,Economic UG Degree History PG Taught,PG Taught,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2393,Iraqi,Economics UG Degree PG Taught,UG Degree,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0
2394,Iraqi,Economics UG Degree PG Taught,PG Taught,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2395,Iraqi,Finance UG Degree PG Taught,UG Degree,0,0,0,*,0,0,0,0,0,0,0,0,0,0,0
2396,Iraqi,Finance UG Degree PG Taught,PG Taught,0,0,0,*,0,0,0,0,0,*,0,0,*,0,0
2397,Iraqi,Gender Stud.. PG Taught,PG Taught,0,0,0,*,*,0,*,*,0,0,0,0,0,0,0
2398,Iraqi,Geography UG Degree and Environ.. PG Taught,UG Degree,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0
2399,Iraqi,Geography UG Degree and Environ.. PG Taught,PG Taught,0,0,0,*,0,0,*,0,0,0,0,0,*,*,*
2400,Iraqi,Government UG Degree PG Taught,UG Degree,*,0,0,*,0,0,0,0,0,0,0,0,*,0,0
2401,Iraqi,Government UG Degree PG Taught,PG Taught,*,0,0,0,0,0,7,0,0,0,0,0,*,0,0
2402,Iraqi,Health Policy PG Taught,PG Taught,0,0,0,0,0,0,*,*,*,0,0,0,0,0,0
2403,Iraqi,International.. PG Taught,PG Taught,*,0,0,*,*,*,*,0,0,*,*,0,0,0,0
2404,Iraqi,International UG Degree Relations PG Taught,UG Degree,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0
2405,Iraqi,International UG Degree Relations PG Taught,PG Taught,0,0,0,*,0,0,*,0,0,*,0,0,0,0,0
2406,Iraqi,Law School UG Degree PG Taught,UG Degree,0,0,0,*,0,0,0,0,0,*,0,0,0,0,0
2407,Iraqi,Law School UG Degree PG Taught,PG Taught,*,*,*,0,0,0,0,0,0,0,0,0,0,0,0
2408,Iraqi,Management UG Degree PG Taught,UG Degree,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0
2409,Iraqi,Management UG Degree PG Taught,PG Taught,*,*,*,0,0,0,*,0,0,*,*,0,*,0,0
2410,Iraqi,Mathematics PG Taught,PG Taught,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2411,Iraqi,Media and C.. PG Taught,PG Taught,0,0,0,0,0,0,0,0,0,0,0,0,*,*,0
2412,Iraqi,Methodology PG Taught,PG Taught,0,0,0,0,0,0,0,0,0,0,0,0,*,*,*
2413,Iraqi,School of Pu.. PG Taught,PG Taught,0,0,0,0,0,0,0,0,0,0,0,0,*,*,0
2414,Iraqi,Social Policy UG Degree Sociology PG Taught,UG Degree,0,0,0,0,0,0,0,0,0,*,*,0,0,0,0
2415,Iraqi,Social Policy UG Degree Sociology PG Taught,PG Taught,*,0,0,*,0,0,*,0,0,*,0,0,0,0,0
2416,Iraqi,Statistics PG Taught,PG Taught,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0
2417,Irish,Accounting UG Degree PG Taught,UG Degree,13,0,0,8,*,*,14,*,*,9,*,0,11,*,0
2418,Irish,Accounting UG Degree PG Taught,PG Taught,0,0,0,*,0,0,*,*,*,*,*,0,*,*,0
2419,Irish,Anthropology UG Degree PG Taught,UG Degree,7,*,0,11,*,*,5,*,*,*,*,0,*,0,0
2420,Irish,Anthropology UG Degree PG Taught,PG Taught,0,0,0,*,*,*,0,0,0,*,*,0,*,*,*
2421,Irish,Economic UG Degree History PG Taught,UG Degree,6,*,0,5,*,0,*,0,0,*,0,0,10,*,*
2422,Irish,Economic UG Degree History PG Taught,PG Taught,*,*,0,*,*,*,*,*,*,*,*,*,0,0,0
2423,Irish,Economics UG Degree PG Taught,UG Degree,15,*,*,27,*,0,36,*,*,26,*,*,18,*,*
2424,Irish,Economics UG Degree PG Taught,PG Taught,*,*,0,*,*,*,11,*,0,5,*,*,5,*,*
2425,Irish,European In.. PG Taught,PG Taught,5,*,*,8,5,*,*,*,*,6,*,*,6,*,*
2426,Irish,Finance UG Degree PG Taught,UG Degree,*,0,0,*,0,0,10,0,0,7,*,0,9,0,0
2427,Irish,Finance UG Degree PG Taught,PG Taught,12,*,0,17,*,*,11,*,0,24,6,5,13,*,0
2428,Irish,Gender Stud.. PG Taught,PG Taught,*,0,0,5,*,*,10,8,6,*,*,*,*,*,0
2429,Irish,Geography UG Degree and Environ.. PG Taught,UG Degree,*,0,0,8,*,0,5,*,0,7,*,0,5,*,0
2430,Irish,Geography UG Degree and Environ.. PG Taught,PG Taught,13,7,*,10,*,*,20,9,6,5,*,*,7,*,*
2431,Irish,Government UG Degree PG Taught,UG Degree,12,*,0,17,*,*,22,*,*,20,*,*,26,7,*
2432,Irish,Government UG Degree PG Taught,PG Taught,10,5,*,8,*,*,*,0,0,8,6,*,9,5,*
2433,Irish,Health Policy PG Taught,PG Taught,*,*,0,7,5,*,5,*,*,*,*,*,5,*,*
2434,Irish,International.. PG Taught,PG Taught,11,*,*,11,*,*,14,8,*,*,*,*,*,0,0
2435,Irish,International UG Degree History PG Taught,UG Degree,*,*,*,*,*,0,*,*,0,9,*,*,9,*,0
