Undergraduate programmes,,,,,,,,,
MSc in Philosophy and Public Policy,"£20,904","£20,904",,,,,,,
MSc in Philosophy of Science,"£13,536","£20,904",,,,,,,
MSc in Philosophy of the Social Sciences,"£13,536","£20,904",,,,,,,
MSc in Political Economy of Europe,"£20,904","£20,904",,,,,,,
MSc in Political Economy of Late Development,"£13,536","£20,904",,,,,,,
MSc in Political Science and Political Economy,"£20,904","£20,904",,,,,,,
MSc in Political Sociology,"£13,536","£20,904",,,,,,,
MSc in Political Theory (Both streams),"£13,536","£20,904",,,,,,,
MSc in Politics and Communication,"£20,904","£20,904",,,,,,,
MSc in Psychology of Economic Life,"£13,536","£20,904",,,,,,,
LSE-PKU Double Degree in Public Administration and Government,See Double Degrees Section,,,,,,,,
MPA in Public and Economic Policy,See Double Degrees Section,,,,,,,,
MPA in Public and Social Policy,See Double Degrees Section,,,,,,,,
MSc in Public Policy and Administration (Both streams),"£20,904","£20,904",,,,,,,
